invoice_no,customer_id,gender,age,category,quantity,total_price,payment_method,Order Date,Month,Year,shopping_mall
I299925,C202977,Female,32,Clothing,2,600.16,Credit Card,23-Apr-20,April,2020,Mall of Istanbul
I321373,C237063,Female,23,Food & Beverage,5,26.15,Cash,24-Jun-20,June,2020,Zorlu Center
I966684,C108497,Female,49,Toys,4,143.36,Cash,16-Mar-21,March,2021,Mall of Istanbul
I726807,C219299,Female,26,Clothing,4,1200.32,Credit Card,7-Apr-20,April,2020,Viaport Outlet
I333100,C247547,Female,62,Clothing,5,1500.4,Credit Card,30-Sep-21,September,2021,Mall of Istanbul
I207643,C190917,Male,30,Toys,1,35.84,Cash,1-May-22,May,2022,Mall of Istanbul
I647207,C337220,Female,28,Clothing,2,600.16,Credit Card,21-Jan-21,January,2021,Kanyon
I330964,C217919,Female,65,Shoes,2,1200.34,Debit Card,24-Jun-20,June,2020,Metropol AVM
I237324,C112544,Female,56,Toys,1,35.84,Credit Card,3-Mar-19,March,2019,Forum Istanbul
I269825,C168912,Female,40,Food & Beverage,3,15.69,Cash,28-Jan-21,January,2021,Mall of Istanbul
I305024,C279747,Male,55,Clothing,4,1200.32,Credit Card,28-Jun-20,June,2020,Kanyon
I223568,C249401,Female,61,Toys,2,71.68,Credit Card,5-Jul-20,July,2020,Istinye Park
I194268,C128618,Female,35,Souvenir,5,58.65,Cash,2-Mar-19,March,2019,Metropol AVM
I155448,C182105,Female,37,Shoes,1,600.17,Cash,1-May-22,May,2022,Mall of Istanbul
I205336,C331127,Male,32,Cosmetics,1,40.66,Cash,29-Apr-22,April,2022,Istinye Park
I171351,C286564,Female,68,Souvenir,1,11.73,Debit Card,29-Apr-22,April,2022,Kanyon
I249223,C188064,Female,44,Clothing,2,600.16,Cash,29-Apr-22,April,2022,Mall of Istanbul
I258001,C293329,Female,61,Cosmetics,4,162.64,Credit Card,29-Apr-22,April,2022,Kanyon
I231029,C113739,Male,38,Clothing,4,1200.32,Cash,6-Aug-20,August,2020,Istinye Park
I163202,C836254,Female,66,Clothing,3,900.24,Credit Card,21-Dec-19,December,2019,Mall of Istanbul
I169427,C245894,Female,53,Clothing,5,1500.4,Cash,19-Apr-20,April,2020,Forum Istanbul
I737161,C144894,Female,21,Food & Beverage,4,20.92,Credit Card,17-Jan-22,January,2022,Mall of Istanbul
I225327,C190794,Male,61,Cosmetics,2,81.32,Cash,22-Jan-19,January,2019,Cevahir AVM
I159355,C142508,Female,32,Food & Beverage,4,20.92,Debit Card,28-Feb-20,February,2020,Metropol AVM
I280408,C135555,Female,46,Clothing,1,300.08,Cash,7-Aug-19,August,2019,Viaport Outlet
I323785,C501563,Male,25,Toys,2,71.68,Cash,15-May-21,May,2021,Kanyon
I257286,C152590,Female,49,Cosmetics,1,40.66,Credit Card,17-Dec-21,December,2021,Mall of Istanbul
I331405,C772839,Female,26,Clothing,3,900.24,Cash,9-Sep-21,September,2021,Kanyon
I306957,C623421,Female,40,Clothing,2,600.16,Credit Card,19-Feb-20,February,2020,Cevahir AVM
I147079,C222949,Female,20,Clothing,4,1200.32,Credit Card,29-Jun-20,June,2020,Metropol AVM
I829259,C133451,Female,38,Cosmetics,4,162.64,Cash,13-May-22,May,2022,Viaport Outlet
I296251,C195342,Female,63,Cosmetics,2,81.32,Cash,2-Oct-20,October,2020,Metrocity
I808238,C336400,Male,25,Shoes,2,1200.34,Credit Card,2-Dec-21,December,2021,Mall of Istanbul
I891465,C175833,Female,19,Clothing,1,300.08,Cash,2-Nov-21,November,2021,Metrocity
I563052,C246602,Female,53,Cosmetics,4,162.64,Cash,23-Feb-20,February,2020,Metrocity
I130443,C329003,Female,51,Shoes,1,600.17,Cash,3-Jul-20,July,2020,Istinye Park
I241690,C270340,Male,56,Souvenir,2,23.46,Credit Card,11-Feb-19,February,2019,Kanyon
I643231,C330141,Male,29,Toys,4,143.36,Cash,10-Sep-20,September,2020,Kanyon
I295337,C121707,Female,20,Shoes,4,2400.68,Debit Card,2-Mar-20,March,2020,Mall of Istanbul
I265980,C112452,Female,35,Books,1,15.15,Credit Card,28-Jun-21,June,2021,Forum Istanbul
I293153,C269710,Female,62,Food & Beverage,2,10.46,Cash,11-Jan-19,January,2019,Metropol AVM
I193148,C297610,Female,32,Clothing,4,1200.32,Cash,20-Sep-19,September,2019,Cevahir AVM
I318625,C319935,Male,48,Technology,5,5250,Cash,16-Oct-21,October,2021,Zorlu Center
I142245,C785507,Male,43,Cosmetics,3,121.98,Debit Card,1-Jan-20,January,2020,Zorlu Center
I205906,C217834,Female,57,Clothing,4,1200.32,Credit Card,10-Mar-22,March,2022,Kanyon
I277462,C709370,Male,33,Clothing,2,600.16,Cash,12-May-22,May,2022,Metrocity
I753100,C216369,Female,49,Food & Beverage,1,5.23,Cash,10-Sep-20,September,2020,Emaar Square Mall
I610847,C322689,Female,29,Clothing,4,1200.32,Cash,16-Oct-21,October,2021,Metrocity
I295181,C146203,Female,43,Food & Beverage,2,10.46,Credit Card,17-Jun-21,June,2021,Metrocity
I198308,C611809,Female,36,Food & Beverage,5,26.15,Credit Card,30-Mar-19,March,2019,Metrocity
I180570,C210236,Female,59,Shoes,5,3000.85,Cash,19-Dec-21,December,2021,Metrocity
I260475,C297118,Female,31,Clothing,5,1500.4,Credit Card,19-Dec-21,December,2021,Mall of Istanbul
I251024,C180586,Female,51,Food & Beverage,2,10.46,Debit Card,5-Jun-20,June,2020,Mall of Istanbul
I302151,C314705,Male,27,Technology,4,4200,Cash,12-Sep-21,September,2021,Kanyon
I145917,C272419,Female,62,Cosmetics,5,203.3,Credit Card,16-Mar-22,March,2022,Forum Istanbul
I254721,C282520,Male,44,Clothing,5,1500.4,Debit Card,21-Dec-21,December,2021,Kanyon
I103120,C319624,Female,18,Shoes,4,2400.68,Debit Card,21-May-19,May,2019,Mall of Istanbul
I173288,C264687,Female,52,Food & Beverage,5,26.15,Credit Card,26-Oct-21,October,2021,Metrocity
I279088,C140543,Male,60,Technology,3,3150,Credit Card,26-Mar-20,March,2020,Metrocity
I190414,C339391,Female,34,Food & Beverage,3,15.69,Debit Card,14-Oct-20,October,2020,Forum Istanbul
I613381,C285587,Male,47,Clothing,1,300.08,Cash,13-Dec-21,December,2021,Mall of Istanbul
I107697,C137134,Female,58,Toys,1,35.84,Cash,8-Mar-21,March,2021,Istinye Park
I193600,C103896,Female,51,Clothing,4,1200.32,Credit Card,21-Jan-21,January,2021,Istinye Park
I165090,C315479,Female,32,Clothing,3,900.24,Debit Card,10-Jan-21,January,2021,Forum Istanbul
I260728,C181912,Female,23,Toys,5,179.2,Credit Card,26-Mar-21,March,2021,Kanyon
I164219,C335107,Female,38,Toys,4,143.36,Cash,25-Mar-22,March,2022,Cevahir AVM
I318282,C121510,Male,63,Souvenir,2,23.46,Credit Card,22-Jul-21,July,2021,Metrocity
I212598,C477489,Female,50,Food & Beverage,3,15.69,Cash,6-Sep-20,September,2020,Forum Istanbul
I212833,C331382,Male,64,Cosmetics,2,81.32,Cash,28-Dec-19,December,2019,Metrocity
I326146,C554087,Male,51,Clothing,2,600.16,Cash,20-Apr-20,April,2020,Metropol AVM
I169684,C226252,Male,21,Food & Beverage,1,5.23,Debit Card,21-Feb-19,February,2019,Zorlu Center
I462436,C227695,Female,20,Cosmetics,3,121.98,Cash,17-Mar-22,March,2022,Cevahir AVM
I940151,C246136,Male,34,Food & Beverage,3,15.69,Credit Card,14-May-21,May,2021,Mall of Istanbul
I210603,C170928,Female,26,Cosmetics,4,162.64,Debit Card,6-Jan-19,January,2019,Istinye Park
I174942,C200317,Female,19,Clothing,3,900.24,Credit Card,24-Apr-19,April,2019,Kanyon
I163206,C192979,Female,47,Food & Beverage,3,15.69,Credit Card,30-May-21,May,2021,Mall of Istanbul
I266121,C198568,Male,47,Clothing,4,1200.32,Cash,12-Jul-22,July,2022,Kanyon
I454912,C251518,Female,56,Toys,2,71.68,Credit Card,31-Jan-21,January,2021,Metropol AVM
I831916,C215210,Male,42,Clothing,5,1500.4,Debit Card,12-Sep-19,September,2019,Mall of Istanbul
I180372,C271571,Male,49,Souvenir,5,58.65,Cash,30-Jun-20,June,2020,Forum Istanbul
I466698,C303444,Female,51,Shoes,3,1800.51,Debit Card,25-Mar-20,March,2020,Kanyon
I119678,C506925,Female,41,Technology,4,4200,Cash,14-Apr-21,April,2021,Emaar Square Mall
I296369,C294604,Male,27,Food & Beverage,1,5.23,Cash,16-Aug-19,August,2019,Kanyon
I133116,C190939,Female,61,Clothing,5,1500.4,Debit Card,17-Dec-21,December,2021,Kanyon
I165625,C129849,Female,38,Shoes,4,2400.68,Cash,31-Dec-19,December,2019,Mall of Istanbul
I333045,C235178,Male,42,Clothing,1,300.08,Credit Card,12-Apr-21,April,2021,Kanyon
I131869,C267843,Male,58,Food & Beverage,1,5.23,Debit Card,28-Sep-19,September,2019,Kanyon
I168101,C186861,Female,57,Souvenir,3,35.19,Cash,15-Jun-22,June,2022,Forum Istanbul
I713258,C219983,Male,23,Clothing,3,900.24,Cash,15-Jul-19,July,2019,Kanyon
I144171,C250033,Female,62,Clothing,1,300.08,Debit Card,10-Feb-19,February,2019,Kanyon
I191531,C506663,Male,31,Shoes,3,1800.51,Cash,4-Jun-22,June,2022,Metrocity
I165583,C235482,Female,54,Clothing,1,300.08,Credit Card,10-Oct-20,October,2020,Metrocity
I210803,C781893,Male,19,Clothing,4,1200.32,Credit Card,6-Jun-21,June,2021,Metrocity
I209258,C328444,Male,68,Cosmetics,5,203.3,Cash,16-Mar-19,March,2019,Metrocity
I169548,C307592,Male,44,Clothing,5,1500.4,Credit Card,5-Dec-19,December,2019,Mall of Istanbul
I140693,C541983,Female,44,Clothing,2,600.16,Credit Card,20-Jan-19,January,2019,Cevahir AVM
I172509,C283381,Female,29,Shoes,3,1800.51,Cash,4-Apr-22,April,2022,Mall of Istanbul
I301205,C301099,Female,67,Food & Beverage,4,20.92,Credit Card,8-Feb-22,February,2022,Kanyon
I338366,C246641,Female,28,Shoes,5,3000.85,Debit Card,30-Jun-19,June,2019,Viaport Outlet
I108742,C312617,Female,34,Clothing,5,1500.4,Credit Card,9-May-20,May,2020,Mall of Istanbul
I261374,C204164,Male,45,Toys,2,71.68,Debit Card,11-Jun-21,June,2021,Istinye Park
I860717,C259798,Female,55,Clothing,2,600.16,Debit Card,4-Nov-21,November,2021,Forum Istanbul
I295440,C215336,Female,69,Food & Beverage,2,10.46,Debit Card,20-Feb-22,February,2022,Mall of Istanbul
I273820,C339648,Male,30,Food & Beverage,4,20.92,Credit Card,3-Jul-19,July,2019,Cevahir AVM
I279919,C290275,Female,38,Clothing,2,600.16,Cash,1-Jun-21,June,2021,Istinye Park
I190006,C230120,Male,39,Cosmetics,1,40.66,Debit Card,15-Nov-20,November,2020,Metrocity
I156252,C478733,Female,63,Toys,4,143.36,Debit Card,19-Jan-21,January,2021,Viaport Outlet
I183583,C201255,Male,49,Cosmetics,1,40.66,Cash,10-Oct-21,October,2021,Forum Istanbul
I258930,C289918,Female,66,Shoes,4,2400.68,Credit Card,28-Feb-22,February,2022,Istinye Park
I651105,C937123,Female,68,Food & Beverage,1,5.23,Cash,1-Oct-21,October,2021,Mall of Istanbul
I135098,C322924,Male,18,Clothing,5,1500.4,Cash,2-Sep-20,September,2020,Kanyon
I187453,C690345,Female,42,Shoes,3,1800.51,Cash,31-Jul-20,July,2020,Metrocity
I176625,C247049,Female,54,Clothing,4,1200.32,Cash,10-Jan-22,January,2022,Metropol AVM
I289516,C280253,Male,43,Clothing,5,1500.4,Credit Card,9-Mar-21,March,2021,Zorlu Center
I188382,C169477,Male,54,Clothing,1,300.08,Cash,20-Nov-20,November,2020,Emaar Square Mall
I749173,C131819,Male,43,Shoes,4,2400.68,Credit Card,14-Mar-22,March,2022,Mall of Istanbul
I752413,C442324,Male,44,Clothing,3,900.24,Credit Card,10-Jan-19,January,2019,Mall of Istanbul
I254886,C114347,Male,36,Technology,2,2100,Debit Card,26-Jan-21,January,2021,Mall of Istanbul
I323478,C216456,Female,41,Food & Beverage,2,10.46,Cash,26-Apr-21,April,2021,Metrocity
I178637,C152833,Female,45,Clothing,1,300.08,Credit Card,4-Jan-22,January,2022,Emaar Square Mall
I840591,C171160,Female,41,Clothing,2,600.16,Cash,20-Aug-19,August,2019,Cevahir AVM
I251184,C259884,Male,58,Cosmetics,5,203.3,Credit Card,15-Jul-22,July,2022,Metrocity
I929854,C114606,Female,34,Shoes,1,600.17,Debit Card,12-Feb-19,February,2019,Metropol AVM
I274883,C216025,Female,67,Food & Beverage,1,5.23,Cash,8-Sep-21,September,2021,Viaport Outlet
I338411,C884264,Male,60,Books,5,75.75,Credit Card,13-Dec-19,December,2019,Mall of Istanbul
I301433,C697667,Female,31,Clothing,5,1500.4,Cash,25-Aug-21,August,2021,Istinye Park
I218234,C136585,Female,52,Toys,3,107.52,Cash,23-Mar-22,March,2022,Forum Istanbul
I716822,C146582,Male,25,Food & Beverage,5,26.15,Credit Card,11-Apr-19,April,2019,Mall of Istanbul
I174219,C129039,Female,22,Clothing,4,1200.32,Cash,29-Oct-20,October,2020,Kanyon
I278299,C183846,Female,34,Food & Beverage,3,15.69,Credit Card,30-Jul-20,July,2020,Metropol AVM
I267714,C297404,Male,30,Clothing,4,1200.32,Cash,15-Mar-19,March,2019,Kanyon
I670822,C127819,Female,25,Food & Beverage,2,10.46,Credit Card,27-Dec-21,December,2021,Kanyon
I339508,C127718,Female,48,Clothing,3,900.24,Cash,3-Oct-19,October,2019,Emaar Square Mall
I268823,C230543,Male,30,Clothing,1,300.08,Debit Card,5-Feb-19,February,2019,Istinye Park
I217906,C302358,Female,30,Clothing,3,900.24,Cash,31-Aug-20,August,2020,Kanyon
I846907,C105060,Female,36,Clothing,5,1500.4,Cash,13-Jan-21,January,2021,Istinye Park
I176751,C182606,Female,52,Shoes,5,3000.85,Credit Card,22-Mar-21,March,2021,Kanyon
I325587,C295864,Male,33,Food & Beverage,1,5.23,Cash,17-Jan-20,January,2020,Viaport Outlet
I112845,C323307,Male,69,Cosmetics,5,203.3,Cash,2-Jul-19,July,2019,Metrocity
I158003,C104350,Female,46,Clothing,2,600.16,Cash,23-May-22,May,2022,Metrocity
I276368,C282281,Female,65,Toys,4,143.36,Debit Card,14-Jun-22,June,2022,Kanyon
I206246,C506887,Male,27,Food & Beverage,5,26.15,Cash,20-Jul-21,July,2021,Kanyon
I195587,C528686,Female,42,Food & Beverage,2,10.46,Cash,3-Jun-22,June,2022,Kanyon
I213354,C157218,Female,56,Technology,5,5250,Credit Card,26-May-20,May,2020,Kanyon
I583185,C172691,Female,68,Cosmetics,5,203.3,Credit Card,26-Jul-19,July,2019,Metropol AVM
I236100,C330221,Male,64,Food & Beverage,3,15.69,Credit Card,22-Oct-20,October,2020,Mall of Istanbul
I298339,C336104,Male,59,Food & Beverage,1,5.23,Debit Card,24-Dec-20,December,2020,Mall of Istanbul
I280823,C807852,Female,68,Technology,3,3150,Credit Card,6-Sep-19,September,2019,Istinye Park
I863565,C128312,Male,25,Cosmetics,5,203.3,Cash,8-Apr-19,April,2019,Viaport Outlet
I243784,C150950,Female,40,Toys,5,179.2,Credit Card,26-Jan-22,January,2022,Kanyon
I810580,C305706,Female,18,Toys,1,35.84,Debit Card,28-Nov-19,November,2019,Kanyon
I297768,C310310,Male,56,Clothing,4,1200.32,Cash,21-Jul-19,July,2019,Istinye Park
I231514,C414958,Female,36,Shoes,1,600.17,Cash,21-Jul-19,July,2019,Emaar Square Mall
I200720,C296534,Female,30,Food & Beverage,1,5.23,Credit Card,12-Mar-21,March,2021,Emaar Square Mall
I171758,C234534,Female,52,Cosmetics,4,162.64,Debit Card,1-Jan-22,January,2022,Emaar Square Mall
I148039,C247694,Female,24,Technology,4,4200,Debit Card,22-Mar-20,March,2020,Kanyon
I943432,C141657,Female,30,Clothing,2,600.16,Cash,18-Sep-20,September,2020,Mall of Istanbul
I215019,C156233,Female,45,Cosmetics,5,203.3,Cash,3-Jan-19,January,2019,Kanyon
I204541,C354331,Male,29,Toys,4,143.36,Cash,29-Sep-21,September,2021,Kanyon
I528108,C131221,Male,24,Books,1,15.15,Debit Card,19-Oct-21,October,2021,Metropol AVM
I163618,C123445,Female,46,Clothing,2,600.16,Cash,14-Jul-22,July,2022,Emaar Square Mall
I255698,C207443,Female,65,Shoes,4,2400.68,Cash,19-Jul-21,July,2021,Metrocity
I328430,C137762,Female,26,Toys,1,35.84,Credit Card,10-Dec-21,December,2021,Viaport Outlet
I561353,C152904,Female,58,Toys,3,107.52,Cash,17-Mar-19,March,2019,Metrocity
I101472,C216194,Female,45,Clothing,4,1200.32,Cash,28-Feb-20,February,2020,Metrocity
I109605,C207415,Male,43,Cosmetics,3,121.98,Debit Card,3-Jun-20,June,2020,Mall of Istanbul
I143755,C621747,Female,25,Souvenir,4,46.92,Debit Card,22-Feb-20,February,2020,Metrocity
I335633,C621794,Female,53,Clothing,3,900.24,Credit Card,9-Nov-19,November,2019,Zorlu Center
I212054,C218289,Female,63,Clothing,1,300.08,Debit Card,7-Mar-20,March,2020,Mall of Istanbul
I142204,C235878,Female,37,Cosmetics,1,40.66,Credit Card,26-Apr-21,April,2021,Cevahir AVM
I310814,C251446,Female,68,Cosmetics,4,162.64,Debit Card,11-Nov-21,November,2021,Mall of Istanbul
I202865,C708005,Female,67,Books,5,75.75,Cash,15-Jun-21,June,2021,Mall of Istanbul
I128008,C323349,Female,29,Clothing,5,1500.4,Cash,27-Feb-20,February,2020,Mall of Istanbul
I244711,C180375,Female,55,Clothing,4,1200.32,Cash,19-Apr-21,April,2021,Mall of Istanbul
I202868,C254007,Male,30,Clothing,2,600.16,Debit Card,29-Jul-22,July,2022,Kanyon
I229755,C908169,Female,57,Toys,5,179.2,Cash,20-Jan-19,January,2019,Istinye Park
I551504,C587022,Male,33,Shoes,1,600.17,Debit Card,21-Feb-22,February,2022,Zorlu Center
I357584,C485257,Female,54,Clothing,3,900.24,Cash,3-May-20,May,2020,Kanyon
I572568,C196813,Female,66,Shoes,4,2400.68,Credit Card,21-Mar-19,March,2019,Mall of Istanbul
I834928,C242182,Male,56,Clothing,5,1500.4,Debit Card,13-Jun-19,June,2019,Emaar Square Mall
I301887,C331182,Male,30,Technology,4,4200,Credit Card,5-Jun-20,June,2020,Zorlu Center
I722991,C206713,Female,19,Clothing,5,1500.4,Cash,16-Mar-19,March,2019,Zorlu Center
I121934,C376889,Female,22,Technology,1,1050,Cash,3-Dec-21,December,2021,Metrocity
I161868,C333202,Male,29,Food & Beverage,5,26.15,Debit Card,9-Jul-22,July,2022,Emaar Square Mall
I227368,C147456,Male,44,Clothing,2,600.16,Cash,29-Apr-20,April,2020,Mall of Istanbul
I283492,C221830,Female,38,Toys,1,35.84,Credit Card,27-Jan-22,January,2022,Emaar Square Mall
I236127,C634747,Female,32,Clothing,3,900.24,Cash,13-Feb-21,February,2021,Cevahir AVM
I259412,C108986,Female,58,Toys,4,143.36,Credit Card,13-Jul-20,July,2020,Viaport Outlet
I155577,C205202,Female,55,Cosmetics,4,162.64,Cash,12-Mar-20,March,2020,Emaar Square Mall
I311797,C160680,Female,64,Food & Beverage,2,10.46,Credit Card,4-May-20,May,2020,Metropol AVM
I242848,C805973,Female,45,Clothing,3,900.24,Credit Card,3-Apr-21,April,2021,Istinye Park
I448498,C246456,Female,65,Clothing,1,300.08,Credit Card,1-Jun-22,June,2022,Kanyon
I310335,C293191,Female,54,Clothing,4,1200.32,Debit Card,14-Feb-21,February,2021,Metrocity
I925190,C248510,Male,58,Clothing,5,1500.4,Cash,13-Dec-21,December,2021,Metrocity
I777286,C102849,Female,40,Cosmetics,2,81.32,Debit Card,7-Feb-20,February,2020,Emaar Square Mall
I126253,C732384,Male,24,Clothing,5,1500.4,Debit Card,8-Feb-21,February,2021,Metrocity
I287899,C121299,Female,60,Clothing,5,1500.4,Debit Card,11-Aug-20,August,2020,Kanyon
I170920,C103741,Female,60,Food & Beverage,3,15.69,Cash,10-Oct-20,October,2020,Metrocity
I270096,C660491,Male,66,Food & Beverage,2,10.46,Credit Card,10-Oct-20,October,2020,Metropol AVM
I557757,C323696,Male,59,Food & Beverage,1,5.23,Cash,8-Dec-20,December,2020,Kanyon
I377607,C274788,Male,69,Souvenir,5,58.65,Credit Card,18-Apr-19,April,2019,Metrocity
I256639,C158968,Female,47,Cosmetics,4,162.64,Credit Card,4-Jan-21,January,2021,Kanyon
I322886,C289495,Male,39,Technology,3,3150,Cash,10-Mar-19,March,2019,Istinye Park
I248770,C646756,Female,54,Clothing,1,300.08,Cash,29-Nov-19,November,2019,Kanyon
I128121,C193824,Female,67,Technology,4,4200,Cash,19-Jul-22,July,2022,Metrocity
I326712,C226996,Male,30,Clothing,2,600.16,Cash,26-Jun-20,June,2020,Metropol AVM
I159865,C276008,Female,27,Toys,3,107.52,Credit Card,14-Feb-19,February,2019,Mall of Istanbul
I234223,C282899,Female,52,Cosmetics,4,162.64,Cash,9-Nov-20,November,2020,Metropol AVM
I616042,C323659,Female,57,Food & Beverage,3,15.69,Cash,30-Apr-19,April,2019,Kanyon
I148642,C158270,Male,52,Clothing,1,300.08,Credit Card,30-Oct-20,October,2020,Mall of Istanbul
I103072,C170969,Male,20,Cosmetics,4,162.64,Cash,12-Nov-19,November,2019,Forum Istanbul
I497958,C170219,Female,52,Souvenir,5,58.65,Credit Card,11-Feb-22,February,2022,Mall of Istanbul
I236668,C111026,Female,67,Food & Beverage,3,15.69,Debit Card,28-Mar-21,March,2021,Viaport Outlet
I836239,C760307,Female,20,Cosmetics,4,162.64,Cash,10-Dec-21,December,2021,Kanyon
I249682,C183888,Female,64,Clothing,3,900.24,Cash,5-Nov-21,November,2021,Metropol AVM
I140825,C144823,Female,20,Cosmetics,2,81.32,Debit Card,29-Feb-20,February,2020,Kanyon
I742965,C211277,Female,60,Toys,3,107.52,Cash,6-Aug-21,August,2021,Zorlu Center
I291579,C204782,Female,36,Clothing,1,300.08,Credit Card,6-Aug-21,August,2021,Mall of Istanbul
I196493,C184882,Female,29,Shoes,4,2400.68,Credit Card,19-Mar-21,March,2021,Kanyon
I185316,C228532,Female,45,Souvenir,1,11.73,Cash,16-Apr-21,April,2021,Zorlu Center
I212235,C315826,Female,18,Food & Beverage,1,5.23,Cash,6-Nov-20,November,2020,Cevahir AVM
I219127,C339071,Female,54,Books,1,15.15,Debit Card,15-Mar-21,March,2021,Kanyon
I971862,C219304,Male,45,Clothing,3,900.24,Cash,17-Oct-21,October,2021,Kanyon
I108180,C192474,Female,59,Food & Beverage,1,5.23,Cash,7-Sep-19,September,2019,Kanyon
I321337,C398415,Female,49,Clothing,2,600.16,Cash,13-Jul-22,July,2022,Kanyon
I274610,C391672,Male,61,Souvenir,3,35.19,Cash,21-Nov-21,November,2021,Metrocity
I678477,C275887,Female,28,Food & Beverage,3,15.69,Credit Card,13-Jan-22,January,2022,Cevahir AVM
I326054,C198086,Female,36,Books,3,45.45,Cash,13-Jul-22,July,2022,Metrocity
I284282,C822515,Female,69,Clothing,2,600.16,Cash,2-Nov-21,November,2021,Mall of Istanbul
I256046,C871318,Female,27,Food & Beverage,3,15.69,Cash,10-Jul-21,July,2021,Mall of Istanbul
I486233,C199664,Female,30,Clothing,3,900.24,Credit Card,7-Oct-21,October,2021,Metrocity
I237899,C820137,Male,67,Cosmetics,4,162.64,Debit Card,28-Feb-20,February,2020,Zorlu Center
I102481,C521673,Male,66,Shoes,4,2400.68,Credit Card,5-Jul-22,July,2022,Kanyon
I198156,C149637,Female,52,Food & Beverage,4,20.92,Cash,21-Sep-21,September,2021,Metropol AVM
I411189,C743273,Male,69,Food & Beverage,3,15.69,Credit Card,3-Jan-19,January,2019,Metrocity
I528396,C130273,Female,63,Clothing,1,300.08,Debit Card,8-Mar-22,March,2022,Metropol AVM
I225178,C240389,Female,20,Clothing,5,1500.4,Credit Card,8-Mar-22,March,2022,Kanyon
I103131,C470346,Female,23,Toys,4,143.36,Cash,10-Mar-20,March,2020,Metrocity
I179619,C423734,Male,47,Toys,3,107.52,Cash,27-Nov-21,November,2021,Metrocity
I229909,C139077,Male,43,Clothing,5,1500.4,Cash,4-Mar-21,March,2021,Viaport Outlet
I472142,C842431,Male,55,Shoes,1,600.17,Cash,16-Nov-21,November,2021,Cevahir AVM
I184289,C102301,Male,25,Toys,2,71.68,Credit Card,16-Jun-19,June,2019,Metrocity
I340111,C222159,Female,62,Shoes,4,2400.68,Cash,19-Jul-20,July,2020,Mall of Istanbul
I244311,C204727,Female,23,Cosmetics,1,40.66,Cash,28-Feb-20,February,2020,Metrocity
I208028,C325158,Female,48,Technology,5,5250,Credit Card,22-Jun-19,June,2019,Cevahir AVM
I201268,C649525,Male,64,Souvenir,1,11.73,Cash,8-Sep-19,September,2019,Kanyon
I406982,C283221,Female,50,Clothing,2,600.16,Credit Card,26-May-22,May,2022,Mall of Istanbul
I259335,C153509,Female,42,Cosmetics,2,81.32,Cash,3-Dec-19,December,2019,Metrocity
I278596,C290548,Male,43,Clothing,3,900.24,Cash,17-Sep-19,September,2019,Mall of Istanbul
I156920,C133134,Female,25,Clothing,3,900.24,Credit Card,31-May-22,May,2022,Mall of Istanbul
I189797,C245539,Male,66,Clothing,3,900.24,Debit Card,21-Oct-19,October,2019,Metropol AVM
I283099,C110711,Female,41,Food & Beverage,1,5.23,Cash,24-Apr-22,April,2022,Kanyon
I108662,C141093,Female,37,Cosmetics,3,121.98,Cash,13-Jan-21,January,2021,Metropol AVM
I443008,C299644,Female,43,Clothing,3,900.24,Credit Card,19-Aug-22,August,2022,Metropol AVM
I756144,C141285,Female,19,Clothing,2,600.16,Credit Card,2-Mar-19,March,2019,Kanyon
I148225,C120095,Female,64,Technology,4,4200,Credit Card,21-Jan-20,January,2020,Mall of Istanbul
I187159,C130462,Female,39,Shoes,5,3000.85,Debit Card,21-Sep-21,September,2021,Forum Istanbul
I265543,C116092,Female,21,Cosmetics,2,81.32,Credit Card,30-Aug-19,August,2019,Mall of Istanbul
I169324,C152098,Male,51,Food & Beverage,3,15.69,Cash,25-Feb-19,February,2019,Emaar Square Mall
I186033,C766767,Male,67,Books,5,75.75,Cash,17-Sep-19,September,2019,Kanyon
I307337,C322195,Male,54,Shoes,3,1800.51,Debit Card,3-Aug-19,August,2019,Metropol AVM
I988233,C114713,Female,21,Food & Beverage,2,10.46,Cash,26-Feb-21,February,2021,Forum Istanbul
I713320,C189364,Male,29,Technology,1,1050,Debit Card,26-Feb-21,February,2021,Zorlu Center
I187305,C150584,Female,32,Shoes,3,1800.51,Debit Card,3-Aug-21,August,2021,Kanyon
I193430,C275695,Female,55,Clothing,4,1200.32,Credit Card,7-May-21,May,2021,Metrocity
I202249,C614595,Male,24,Souvenir,4,46.92,Cash,14-Jun-19,June,2019,Istinye Park
I910927,C300832,Male,37,Clothing,3,900.24,Credit Card,21-Nov-19,November,2019,Kanyon
I602106,C241238,Female,53,Shoes,5,3000.85,Credit Card,31-Mar-21,March,2021,Istinye Park
I289972,C182162,Female,43,Food & Beverage,5,26.15,Debit Card,1-Jul-19,July,2019,Istinye Park
I109018,C328169,Female,39,Toys,3,107.52,Credit Card,5-May-20,May,2020,Metropol AVM
I333269,C121380,Female,37,Shoes,3,1800.51,Debit Card,20-Apr-20,April,2020,Viaport Outlet
I586154,C788630,Female,58,Food & Beverage,1,5.23,Cash,18-Jul-19,July,2019,Istinye Park
I264725,C143781,Male,28,Toys,1,35.84,Credit Card,18-Nov-21,November,2021,Mall of Istanbul
I291281,C285797,Male,45,Technology,1,1050,Credit Card,20-Jun-20,June,2020,Metropol AVM
I144506,C174330,Female,21,Clothing,4,1200.32,Cash,6-Apr-21,April,2021,Istinye Park
